Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
16,Giannis Antetokounmpo,SF,22,MIL,80,2845,26.1,.599,.143,.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,,7.9,4.5,12.4,.210,,4.1,3.5,7.6,6.9
66,Jimmy Butler,SF,27,CHI,76,2809,25.1,.586,.198,.540,4.9,13.2,9.0,24.8,2.6,0.9,9.3,26.5,,10.1,3.8,13.8,.236,,5.8,1.1,6.9,6.3
90,DeMarcus Cousins,C,26,TOT,72,2465,25.7,.562,.254,.468,7.1,29.2,18.2,25.8,2.0,3.3,13.5,36.5,,3.8,3.8,7.6,.149,,3.9,2.6,6.6,5.3
98,Stephen Curry,PG,28,GSW,79,2638,24.6,.624,.547,.251,2.7,11.4,7.3,31.1,2.6,0.5,13.0,30.1,,8.6,3.9,12.6,.229,,7.7,-0.4,7.3,6.2
119,Kevin Durant,SF,28,GSW,62,2070,27.6,.651,.304,.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,,8.0,4.0,12.0,.277,,5.4,2.6,8.0,5.2
155,Rudy Gobert,C,24,UTA,81,2744,23.3,.682,.002,.763,13.6,29.5,21.8,5.7,0.9,6.4,15.1,16.7,,8.3,6.0,14.3,.250,,1.4,4.5,5.8,5.4
172,James Harden,PG,27,HOU,81,2947,27.3,.613,.493,.575,3.5,20.9,12.2,50.7,2.0,1.0,19.5,34.2,,11.5,3.6,15.0,.245,,8.7,1.5,10.1,9.0
220,LeBron James,SF,32,CLE,74,2794,27.0,.619,.254,.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,,9.8,3.0,12.9,.221,,6.8,1.6,8.4,7.3
233,Nikola Jokic,C,21,DEN,73,2038,26.4,.640,.163,.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,,7.7,2.0,9.7,.229,,6.2,2.2,8.3,5.3
261,Kawhi Leonard,SF,25,SAS,74,2474,27.5,.611,.294,.407,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,,8.9,4.7,13.6,.264,,6.4,1.5,7.9,6.2
351,Chris Paul,PG,31,LAC,61,1921,26.2,.614,.385,.331,2.5,14.9,8.8,46.8,3.1,0.3,14.0,24.4,,8.0,2.6,10.6,.264,,7.8,1.0,8.7,5.2
433,Karl-Anthony Towns,C,21,MIN,82,3030,26.0,.618,.186,.289,11.2,27.8,19.4,13.2,1.0,2.9,11.3,27.5,,9.9,2.8,12.7,.201,,4.8,0.3,5.0,5.4
458,Russell Westbrook,PG,28,OKC,81,2802,30.6,.554,.300,.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,,8.5,4.6,13.1,.224,,10.9,4.7,15.6,12.4